vendor,vendor_area,category,item,price_low,price_high,unit,guest_band,includes,source_url,observed,published_quote
Bella Luca Photography,"Memphis, TN",photography,Photo Luca 2,3500,3500,package,,"All day wedding coverage, engagement session, online galleries, fine art wedding album, 16x24 session prints, image discs with print licence, 21-day delivery",https://bellalucaphotography.com/pricemain,2026-09-01,Photo Luca 2 ... $3500
Bella Luca Photography,"Memphis, TN",photography,Photo Bella,3800,3800,package,,As Photo Luca 2 plus fine art parent albums,https://bellalucaphotography.com/pricemain,2026-09-01,$3800
Bella Luca Photography,"Memphis, TN",photography,Photo Bella 2,4550,4550,package,,"Adds bridal session with book, art box album, 20x30 prints, 14-day delivery",https://bellalucaphotography.com/pricemain,2026-09-01,$4550
Bella Luca Photography,"Memphis, TN",photography,Photo Bella 3,5650,5650,package,,"Adds engagement guest book, 7-day delivery",https://bellalucaphotography.com/pricemain,2026-09-01,$5650
Shelby Renee Photo,"Memphis, TN",photography,The Glass Slipper,2700,2700,package,,"6 hours on wedding day, 500+ edited images, online gallery, one photographer",https://www.shelbyreneephoto.com/2025wed,2026-09-01,The Glass Slipper $2700
Shelby Renee Photo,"Memphis, TN",photography,The Wish Upon A Star,3450,3450,package,,"8 hours, complimentary engagement session, 750+ edited images, $50 print credit",https://www.shelbyreneephoto.com/2025wed,2026-09-01,The Wish Upon A Star $3450
Shelby Renee Photo,"Memphis, TN",photography,The Happily Ever After,3975,3975,package,,"10 hours, engagement and bridal sessions, 900+ edited images, 24x30 canvas, two photographers, $100 print credit",https://www.shelbyreneephoto.com/2025wed,2026-09-01,The Happily Ever After $3975
Tracye Pulliam Photography & Weddings,"Memphis, TN",photography,"Wedding collections, starting price",3300,3300,starting_price,,Not itemised on the page,https://tracyep.com/wedding-pricing/,2026-09-01,"Wedding collections start at $3,300"
For the Love Birds Photography,"Memphis, TN",photography,"Weddings, starting price",4000,4000,starting_price,,"Hourly coverage, second photographer and engagement session in standard packages, high-resolution print release",https://forthelovebirds.com/pricing,2026-09-01,WEDDINGS START AT $4000
For the Love Birds Photography,"Memphis, TN",photography,"Elopements, starting price",1600,1600,starting_price,,Not itemised on the page,https://forthelovebirds.com/pricing,2026-09-01,ELOPEMENTS START AT $1600
Sonum May Photography,"Serves Memphis, TN and Oxford, MS with travel included",photography,Elopement Coverage,2000,2000,package,,"2 hours coverage, fewer than 20 guests, online gallery, print release",https://pricing.sonummayphotography.com/,2026-09-01,"Elopement Coverage ... $2,000"
Sonum May Photography,"Serves Memphis, TN and Oxford, MS with travel included",photography,Half Day Coverage,5000,5000,package,,"Up to 5 hours, one venue, typically fewer than 50 guests",https://pricing.sonummayphotography.com/,2026-09-01,"Half Day Coverage $5,000"
